timestamp,power_w,util_gpu_pct,util_mem_pct,mem_used_mib,clocks_sm_mhz,temp_c
2026/07/08 17:48:18.200,90.94,0.0,0.0,1895.0,1785.0,40.0
2026/07/08 17:48:19.203,91.18,0.0,0.0,2351.0,1785.0,40.0
2026/07/08 17:48:20.221,90.5,0.0,0.0,2351.0,1785.0,40.0
2026/07/08 17:48:21.214,90.62,0.0,0.0,2351.0,1785.0,40.0
2026/07/08 17:48:22.223,101.81,1.0,1.0,4613.0,1785.0,42.0
2026/07/08 17:48:23.219,327.21,100.0,15.0,5095.0,1785.0,47.0
2026/07/08 17:48:24.227,282.44,97.0,14.0,5095.0,1770.0,44.0
2026/07/08 17:48:25.229,307.69,88.0,23.0,5579.0,1770.0,46.0
2026/07/08 17:48:26.214,386.73,99.0,50.0,5579.0,1770.0,47.0
2026/07/08 17:48:27.230,389.46,99.0,49.0,5579.0,1755.0,48.0
2026/07/08 17:48:28.232,384.07,99.0,49.0,5579.0,1770.0,48.0
2026/07/08 17:48:29.231,383.09,99.0,48.0,5579.0,1770.0,48.0
2026/07/08 17:48:30.227,383.48,99.0,49.0,5579.0,1755.0,49.0
