timestamp,power_w,util_gpu_pct,util_mem_pct,mem_used_mib,clocks_sm_mhz,temp_c
2026/07/07 18:35:19.952,93.44,0.0,0.0,1031.0,1785.0,45.0
2026/07/07 18:35:20.960,129.12,96.0,83.0,1877.0,1785.0,48.0
2026/07/07 18:35:21.970,236.18,97.0,5.0,2133.0,1785.0,48.0
2026/07/07 18:35:22.961,198.89,100.0,5.0,2133.0,1785.0,47.0
2026/07/07 18:35:23.974,170.67,99.0,43.0,2133.0,1785.0,49.0
2026/07/07 18:35:24.978,237.44,98.0,7.0,2133.0,1785.0,49.0
2026/07/07 18:35:25.977,241.76,97.0,33.0,2317.0,1785.0,50.0
2026/07/07 18:35:26.983,206.8,99.0,19.0,2317.0,1785.0,49.0
2026/07/07 18:35:27.936,200.1,59.0,12.0,3595.0,1785.0,48.0
2026/07/07 18:35:28.954,214.81,99.0,20.0,3595.0,1785.0,50.0
2026/07/07 18:35:29.956,217.04,100.0,19.0,3595.0,1785.0,50.0
2026/07/07 18:35:30.963,210.08,100.0,19.0,3595.0,1785.0,50.0
2026/07/07 18:35:31.695,200.49,9.0,3.0,6875.0,1785.0,49.0
2026/07/07 18:35:32.708,216.29,100.0,19.0,6875.0,1785.0,50.0
2026/07/07 18:35:33.711,204.5,85.0,17.0,6875.0,1785.0,50.0
2026/07/07 18:35:34.711,226.04,100.0,20.0,6875.0,1785.0,51.0
2026/07/07 18:35:35.694,218.03,99.0,22.0,6875.0,1785.0,52.0
2026/07/07 18:35:36.715,202.35,100.0,22.0,6875.0,1785.0,51.0
2026/07/07 18:35:37.711,214.43,91.0,19.0,6875.0,1785.0,51.0
2026/07/07 18:35:38.714,224.56,100.0,20.0,6875.0,1785.0,52.0
2026/07/07 18:35:39.042,216.98,100.0,17.0,12941.0,1785.0,51.0
2026/07/07 18:35:40.057,213.44,100.0,22.0,12941.0,1785.0,52.0
2026/07/07 18:35:41.038,210.29,100.0,22.0,12941.0,1785.0,52.0
2026/07/07 18:35:42.054,216.05,100.0,17.0,12941.0,1785.0,52.0
2026/07/07 18:35:43.033,218.97,100.0,17.0,12941.0,1785.0,53.0
2026/07/07 18:35:44.037,219.58,100.0,20.0,12941.0,1785.0,52.0
2026/07/07 18:35:45.055,217.32,100.0,22.0,12941.0,1785.0,52.0
2026/07/07 18:35:46.054,209.8,100.0,17.0,12941.0,1785.0,53.0
2026/07/07 18:35:47.056,212.25,100.0,17.0,12941.0,1785.0,54.0
2026/07/07 18:35:48.185,226.38,100.0,18.0,12941.0,1785.0,53.0
2026/07/07 18:35:49.051,223.45,100.0,23.0,12941.0,1785.0,54.0
2026/07/07 18:35:50.050,225.3,100.0,19.0,12941.0,1785.0,54.0
2026/07/07 18:35:51.107,211.5,34.0,14.0,12941.0,1785.0,53.0
2026/07/07 18:35:52.049,210.45,100.0,24.0,12941.0,1785.0,54.0
2026/07/07 18:35:53.038,222.78,100.0,22.0,12941.0,1785.0,54.0
2026/07/07 18:35:53.750,202.84,6.0,4.0,19275.0,1785.0,53.0
2026/07/07 18:35:53.987,179.2,21.0,3.0,16189.0,1785.0,54.0
2026/07/07 18:35:54.203,162.27,7.0,5.0,13423.0,1785.0,53.0
2026/07/07 18:35:54.500,128.63,3.0,2.0,12621.0,1785.0,53.0
2026/07/07 18:35:54.787,116.51,7.0,1.0,12231.0,1785.0,53.0
2026/07/07 18:35:55.056,113.75,3.0,2.0,11861.0,1785.0,52.0
2026/07/07 18:35:56.058,218.99,100.0,20.0,11861.0,1785.0,54.0
2026/07/07 18:35:57.063,221.8,100.0,20.0,11861.0,1785.0,55.0
2026/07/07 18:35:58.064,214.94,100.0,17.0,11861.0,1785.0,54.0
2026/07/07 18:35:59.059,216.11,99.0,23.0,11861.0,1785.0,55.0
2026/07/07 18:36:00.068,221.22,100.0,17.0,11861.0,1785.0,55.0
2026/07/07 18:36:01.068,218.06,100.0,22.0,11861.0,1785.0,55.0
2026/07/07 18:36:02.066,216.7,100.0,23.0,11861.0,1785.0,56.0
2026/07/07 18:36:03.067,221.68,100.0,17.0,11861.0,1785.0,55.0
2026/07/07 18:36:04.070,219.66,100.0,23.0,11861.0,1785.0,56.0
2026/07/07 18:36:05.065,218.52,100.0,23.0,11861.0,1785.0,56.0
2026/07/07 18:36:06.058,222.73,100.0,17.0,11861.0,1785.0,55.0
2026/07/07 18:36:07.051,224.1,100.0,23.0,11861.0,1785.0,56.0
2026/07/07 18:36:08.061,220.54,100.0,18.0,11861.0,1785.0,56.0
2026/07/07 18:36:09.068,222.49,100.0,24.0,11861.0,1785.0,57.0
