timestamp,power_w,util_gpu_pct,util_mem_pct,mem_used_mib,clocks_sm_mhz,temp_c
2026/07/07 18:25:52.556,102.86,0.0,0.0,7785.0,1785.0,55.0
2026/07/07 18:25:53.573,353.43,100.0,79.0,10137.0,1515.0,60.0
2026/07/07 18:25:54.592,387.21,100.0,78.0,10137.0,1725.0,61.0
2026/07/07 18:25:54.808,371.47,25.0,20.0,13833.0,1755.0,59.0
2026/07/07 18:25:55.807,409.57,90.0,67.0,13833.0,1320.0,60.0
2026/07/07 18:25:56.823,398.69,89.0,66.0,13833.0,1245.0,61.0
2026/07/07 18:25:57.826,400.97,99.0,74.0,13833.0,1260.0,62.0
2026/07/07 18:25:58.519,385.6,100.0,77.0,21223.0,1665.0,62.0
2026/07/07 18:25:59.533,408.13,100.0,74.0,21223.0,1260.0,62.0
2026/07/07 18:26:00.533,396.07,100.0,77.0,21223.0,1260.0,63.0
2026/07/07 18:26:01.531,397.91,100.0,76.0,21223.0,1275.0,63.0
2026/07/07 18:26:02.536,398.32,100.0,75.0,21223.0,1290.0,64.0
2026/07/07 18:26:03.515,399.12,100.0,77.0,21223.0,1305.0,65.0
2026/07/07 18:26:04.527,399.3,100.0,75.0,21223.0,1290.0,65.0
2026/07/07 18:26:05.537,398.03,100.0,77.0,21223.0,1305.0,65.0
2026/07/07 18:26:05.882,383.88,90.0,69.0,36003.0,1740.0,66.0
2026/07/07 18:26:06.898,409.1,100.0,75.0,36003.0,1245.0,66.0
2026/07/07 18:26:07.896,398.11,100.0,77.0,36003.0,1245.0,66.0
2026/07/07 18:26:08.882,400.26,100.0,73.0,36003.0,1260.0,67.0
2026/07/07 18:26:09.895,396.88,100.0,77.0,36003.0,1500.0,67.0
2026/07/07 18:26:10.896,402.43,100.0,76.0,36003.0,1275.0,67.0
2026/07/07 18:26:11.894,398.97,100.0,78.0,36003.0,1260.0,68.0
2026/07/07 18:26:12.881,399.51,100.0,74.0,36003.0,1290.0,68.0
2026/07/07 18:26:13.898,397.29,100.0,76.0,36003.0,1275.0,68.0
2026/07/07 18:26:14.899,398.9,100.0,78.0,36003.0,1275.0,69.0
2026/07/07 18:26:15.899,397.76,100.0,74.0,36003.0,1260.0,69.0
2026/07/07 18:26:16.899,397.49,100.0,77.0,36003.0,1290.0,69.0
2026/07/07 18:26:17.900,397.95,100.0,76.0,36003.0,1260.0,69.0
2026/07/07 18:26:18.903,397.61,100.0,78.0,36003.0,1275.0,70.0
2026/07/07 18:26:19.901,398.5,100.0,74.0,36003.0,1275.0,70.0
2026/07/07 18:26:20.591,377.08,44.0,31.0,65563.0,1755.0,70.0
