timestamp,power_w,util_gpu_pct,util_mem_pct,mem_used_mib,clocks_sm_mhz,temp_c
2026/07/07 18:48:31.550,89.97,0.0,0.0,1519.0,1785.0,39.0
2026/07/07 18:48:32.576,90.72,0.0,0.0,2377.0,1785.0,39.0
2026/07/07 18:48:33.571,90.37,0.0,0.0,2377.0,1785.0,40.0
2026/07/07 18:48:34.552,90.32,0.0,0.0,2377.0,1785.0,40.0
2026/07/07 18:48:35.600,90.46,0.0,0.0,2377.0,1785.0,40.0
2026/07/07 18:48:36.574,90.35,0.0,0.0,2377.0,1785.0,40.0
2026/07/07 18:48:37.577,90.43,0.0,0.0,2377.0,1785.0,40.0
2026/07/07 18:48:38.579,145.08,100.0,53.0,4143.0,1785.0,43.0
2026/07/07 18:48:39.587,370.77,97.0,100.0,4617.0,1365.0,45.0
2026/07/07 18:48:40.592,357.97,98.0,26.0,4621.0,1515.0,47.0
2026/07/07 18:48:41.566,395.96,100.0,50.0,5095.0,1710.0,48.0
2026/07/07 18:48:42.588,387.99,99.0,52.0,5095.0,1770.0,48.0
2026/07/07 18:48:43.585,395.66,99.0,51.0,5095.0,1755.0,49.0
2026/07/07 18:48:44.572,401.52,100.0,49.0,5095.0,1650.0,50.0
2026/07/07 18:48:45.592,388.97,99.0,49.0,5095.0,1755.0,50.0
2026/07/07 18:48:46.572,402.73,100.0,49.0,5095.0,1560.0,52.0
2026/07/07 18:48:47.572,394.91,99.0,50.0,5095.0,1695.0,52.0
2026/07/07 18:48:48.584,390.49,99.0,49.0,5095.0,1695.0,53.0
2026/07/07 18:48:49.589,395.61,100.0,49.0,5095.0,1710.0,53.0
